id;nom;departement;coordonnees;type_commerce;adresse;ville;adresse_mail;tel
810;CAFE DE L'AVIATION;Ille et Vilaine;"{""coordinates"": [[-1.683832731194822, 48.10060876877642]], ""type"": ""MultiPoint""}";BAR PETITE RESTO;13 RUE LOBINEAU;RENNES;;
811;HOT BRASIL;Ille et Vilaine;"{""coordinates"": [[-1.680908332786454, 48.114063738404056]], ""type"": ""MultiPoint""}";RESTAURANT BRESILIEN;27 RUE DE PENHOET;RENNES;;
812;MAISON LARNICOL;Ille et Vilaine;"{""coordinates"": [[-1.679506281024043, 48.11330086189567]], ""type"": ""MultiPoint""}";PATISSERIE MACARON;RUE LE BASTARD;RENNES;;
813;MONSIEUR EST SERVI;Ille et Vilaine;"{""coordinates"": [[-1.683471701071086, 48.11055075971178]], ""type"": ""MultiPoint""}";RESTAURANT ORIENTAL;3 RUE DES DAMES;RENNES;;
814;AUX CAPRICES DE SUZETTE;Ille et Vilaine;"{""coordinates"": [[-1.678128354612878, 48.108646863845344]], ""type"": ""MultiPoint""}";CREPERIE TARTE SALON DE THE BAR RESTAURANT;17 RUE VASSELOT;RENNES;;
815;LA MOULE RIEUSE;Ille et Vilaine;"{""coordinates"": [[-1.680938877542055, 48.11670430676034]], ""type"": ""MultiPoint""}";RESTAURANT;19 RUE DE SAINT MALO;RENNES;;
816;LES PETITS CLOUS;Ille et Vilaine;"{""coordinates"": [[-1.653801261891178, 48.101455269606916]], ""type"": ""MultiPoint""}";BAR RESTAURANT;49 RUE DE CHATEAUGIRON;RENNES;;
817;A LA BONNE FERMIERE;Ille et Vilaine;"{""coordinates"": [[-1.678452690969967, 48.10867149483549]], ""type"": ""MultiPoint""}";ALIMENTATION GENERALE + FRUITS LEGUMES;11 RUE VASSELOT;RENNES;;
818;LE BOLLYWOOD;Ille et Vilaine;"{""coordinates"": [[-1.681706515741814, 48.120349508988205]], ""type"": ""MultiPoint""}";RESTAURANT;83 RUE SAINT MALO;RENNES;;
819;CHEZ KITOF;Ille et Vilaine;"{""coordinates"": [[-1.676089646530793, 48.114884463399896]], ""type"": ""MultiPoint""}";SANDWICHERIE;29 RUE SAINT MELAINE;RENNES;;
820;LE DANIEL;Ille et Vilaine;"{""coordinates"": [[-1.678646160077069, 48.11162850192207]], ""type"": ""MultiPoint""}";PATISSERIE CHOCOLATERIE;13 GALERIE DU THEATRE;RENNES;;
821;LE PETIT GOURMAND;Ille et Vilaine;"{""coordinates"": [[-1.681441526434412, 48.11364739548486]], ""type"": ""MultiPoint""}";RESTAURATION RAPIDE;1 RUE DE PENHOET;RENNES;;
822;LA GRANDE MURAILLE DE CHINE;Ille et Vilaine;"{""coordinates"": [[-1.68089725985062, 48.11419403064752]], ""type"": ""MultiPoint""}";RESTAURANT ASIATIQUE;29 RUE DE PENHOET;RENNES;;
823;PALAIS AUX SANDWICHES;Ille et Vilaine;"{""coordinates"": [[-1.681244568985602, 48.11151149637357]], ""type"": ""MultiPoint""}";SANDWICHERIE;6 RUE DE MONTFORT;RENNES;;
824;BOUCHERIE CHARCUTERIE B.EUCHER;Ille et Vilaine;"{""coordinates"": [[-1.679750251269854, 48.10757791186146]], ""type"": ""MultiPoint""}";BOUCHERIE CHARCUTERIE;LIEU DIT LES HALLES CENTRAL;RENNES;;
825;FRUITS LEGUMES & SENS;Ille et Vilaine;"{""coordinates"": [[-1.679514417428399, 48.107586488944385]], ""type"": ""MultiPoint""}";FRUITS ET LEGUMES;PLACE HONORE COMMEUREC;RENNES;;
826;LE COURS DES LICES;Ille et Vilaine;"{""coordinates"": [[-1.682738718842321, 48.11355777021467]], ""type"": ""MultiPoint""}";RESTAURANT;18 PLACE DES LICES;RENNES;;
827;ALIMENTATION;Ille et Vilaine;"{""coordinates"": [[-1.667638411986215, 48.085984083460325]], ""type"": ""MultiPoint""}";ALIMENTATION GENERALE;2 RUE DE SUISSE;RENNES;;
828;LE 21;Ille et Vilaine;"{""coordinates"": [[-1.687145046106531, 48.11809549218103]], ""type"": ""MultiPoint""}";RESTAURANT SANDWICHERIE TRAITEUR;41 AV 41E REGIMENT D INFANTERIE;RENNES;;
829;BEN & FILS;Ille et Vilaine;"{""coordinates"": [[-1.678033547382914, 48.116924771216866]], ""type"": ""MultiPoint""}";ALIMENTATION GENERALE;54 RUE ANTRAIN;RENNES;;
830;COZIC;Ille et Vilaine;"{""coordinates"": [[-1.679671096485946, 48.10768132708532]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;10 RUE SAINT HELIER;RENNES;;
831;LE BISTRO DU COIN;Ille et Vilaine;"{""coordinates"": [[-1.636137913740002, 48.10378730890168]], ""type"": ""MultiPoint""}";BAR RESTAURANT;44 RUE AUGUSTE PAVIE;RENNES;;
832;SUSUSHI;Ille et Vilaine;"{""coordinates"": [[-1.678185778680241, 48.11680202795873]], ""type"": ""MultiPoint""}";RESTAURANT JAPONAIS;52 RUE D ANTRAIN;RENNES;;
833;PALAIS DU KEBAB;Ille et Vilaine;"{""coordinates"": [[-1.681414872974171, 48.113774232186564]], ""type"": ""MultiPoint""}";KEBAB SP/AE RESTAURATION RAPIDE SANDWICHERIE;6 RUE SAINT MICHEL;RENNES;;
834;LA SANDWICHERIE;Ille et Vilaine;"{""coordinates"": [[-1.633213954465065, 48.13033354623278]], ""type"": ""MultiPoint""}";SANDWICHERIE;ALLEE MORVAN LEBESQUE;RENNES;;
835;DOLEDEC LES HALLES;Ille et Vilaine;"{""coordinates"": [[-1.679591984536303, 48.10758333186337]], ""type"": ""MultiPoint""}";POISSONNERIE PLATS AE;RUE JULES SIMON;RENNES;;
836;POPOTES ET POTINS;Ille et Vilaine;"{""coordinates"": [[-1.639126737319107, 48.09601757542457]], ""type"": ""MultiPoint""}";RESTAURANT;203 RUE DE CHATEAUGIRON;RENNES;;
837;LE P'TIT CREUX;Ille et Vilaine;"{""coordinates"": [[-1.700267496527802, 48.10507241475392]], ""type"": ""MultiPoint""}";BAR RESTAURANT;63 BOULEVARD VOLTAIRE;RENNES;;
838;SAM;Ille et Vilaine;"{""coordinates"": [[-1.672448955330815, 48.10329874363326]], ""type"": ""MultiPoint""}";SANDWICHERIE;PLACE DE LA GARE;RENNES;;
839;SUBWAY;Ille et Vilaine;"{""coordinates"": [[-1.678537699691412, 48.09188985243419]], ""type"": ""MultiPoint""}";RESTAURATION RAPIDE;15 BOULEVARD DE L YSER;RENNES;;
840;DOMINO'S PIZZA;Ille et Vilaine;"{""coordinates"": [[-1.667670422337045, 48.09396134049353]], ""type"": ""MultiPoint""}";PIZZA AE / A LIVRER;34 RUE SULLY PRUDHOMME;RENNES;;
841;U EXPRESS;Ille et Vilaine;"{""coordinates"": [[-1.676747232249773, 48.11533414410936]], ""type"": ""MultiPoint""}";SUPERMARCHE;10 PL HOCHE;RENNES;;
842;CLIM BAR;Ille et Vilaine;"{""coordinates"": [[-1.679398057509777, 48.108777177356195]], ""type"": ""MultiPoint""}";BAR BRASSERIE;2 RUE JULES SIMON;RENNES;;
843;BOULANGERIE AUGUSTIN;Ille et Vilaine;"{""coordinates"": [[-1.677899659807431, 48.10499812022911]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;21 PLACE DU COLOMBIER;RENNES;;
844;BAR DE L'ILE DE RHODES;Ille et Vilaine;"{""coordinates"": [[-1.68359876554868, 48.1024360898137]], ""type"": ""MultiPoint""}";BAR CABARET;26 B RUE DU DOCTEUR FRANCIS JOLY;RENNES;;
845;J & P LESAGE;Ille et Vilaine;"{""coordinates"": [[-1.710389172036706, 48.121112615368936]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE + SANDWICHERIE AE;39 COURS KENNEDY;RENNES;;
846;LE 5 BIS;Ille et Vilaine;"{""coordinates"": [[-1.72424806006165, 48.10241681552552]], ""type"": ""MultiPoint""}";RESTAURATION DE TYPE RAPIDE;5 B RUE MANOIR DE SERVIGNE;RENNES;;
847;LE GRENIER A PAIN;Ille et Vilaine;"{""coordinates"": [[-1.796060966021239, 48.10113935662847]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;3 RUE DE L HERMITAGE;LE RHEU;;
848;LITTLE ITALY;Ille et Vilaine;"{""coordinates"": [[-1.795485473875546, 48.10102431067032]], ""type"": ""MultiPoint""}";RESTAURANT PIZZERIA;4 PLACE DE L EGLISE;LE RHEU;;
849;COURS DES HALLES;Ille et Vilaine;"{""coordinates"": [[-1.796070936721259, 48.10116450297398]], ""type"": ""MultiPoint""}";FRUITS LEGUMES + FROMAGES;3 RUE DE L HERMITAGE;LE RHEU;;
850;LE RELAY DE MOIGNE;Ille et Vilaine;"{""coordinates"": [[-1.774563564639701, 48.08072324523251]], ""type"": ""MultiPoint""}";BAR RESTAURANT;LE BOURG DE MOIGNE;LE RHEU;;
851;BOUCHERIE CHARCUTERIE;Ille et Vilaine;"{""coordinates"": [[-1.795331664940974, 48.100289436488815]], ""type"": ""MultiPoint""}";BOUCHERIE CHARCUTERIE;0 RUE CINTRE;LE RHEU;;
852;LE COMPTOIR;Ille et Vilaine;"{""coordinates"": [[-1.791057413872461, 48.090230725051654]], ""type"": ""MultiPoint""}";RESTAURANT;AVENUE DES ACQUETS;LE RHEU;;
853;BOULANGERIE PATISSERIE;Ille et Vilaine;"{""coordinates"": [[-1.591492440183771, 48.012980909905366]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;4 PLACE DE L EGLISE;SAINT ARMEL;;
854;LA BONNE HUMEUR;Ille et Vilaine;"{""coordinates"": [[-1.651584444876268, 48.020719217211735]], ""type"": ""MultiPoint""}";BAR RESTAURANT;14 PLACE DE LA FONTAINE;SAINT ERBLON;;
855;BRIOCHE DOREE (LA);Ille et Vilaine;"{""coordinates"": [[-1.695079275051133, 48.13696704275014]], ""type"": ""MultiPoint""}";VIENNOISERIE + RESTAURATION RAPIDE;ROUTE DE SAINT MALO;SAINT GREGOIRE;;
856;JOSSIC CHOCOLATIER;Ille et Vilaine;"{""coordinates"": [[-1.695835946107663, 48.137661025787985]], ""type"": ""MultiPoint""}";CHOCOLATS;ROUTE DE SAINT MALO;SAINT GREGOIRE;;
857;PARFUM DE CREPES;Ille et Vilaine;"{""coordinates"": [[-1.682846696716616, 48.13934168615348]], ""type"": ""MultiPoint""}";CREPERIE;ETANG AU DIABLE;SAINT GREGOIRE;;
858;ASIA MARKET;Ille et Vilaine;"{""coordinates"": [[-1.688536666205157, 48.136556045607634]], ""type"": ""MultiPoint""}";ALIMENTATION ASIATIQUE PRDT EXOTIQUE;3 RUE DES PETITS CHAMPS;SAINT GREGOIRE;;
859;GEANT CASINO;Ille et Vilaine;"{""coordinates"": [[-1.694938682108829, 48.136479993408784]], ""type"": ""MultiPoint""}";HYPERMARCHE;CTRECOMMERCIAL GRAND QUARTI;SAINT GREGOIRE;;
860;COUR DE BLE;Ille et Vilaine;"{""coordinates"": [[-1.695892459185208, 48.13794600745712]], ""type"": ""MultiPoint""}";SANDWICHERIE;0 CC GRAND QUARTIER;SAINT GREGOIRE;;
861;CAFE SUR LES QUAIS;Ille et Vilaine;"{""coordinates"": [[-1.683443191598397, 48.13911497565013]], ""type"": ""MultiPoint""}";BAR + PETITE RESTAURATION;RUE DE L ETANG AU DIABLE;SAINT GREGOIRE;;
862;RESTAURANT DU COMMERCE;Ille et Vilaine;"{""coordinates"": [[-1.684559288346634, 48.152083272674986]], ""type"": ""MultiPoint""}";HOTEL RESTAURANT** BAR PMU;4 RUE ALPHONSE MILON;SAINT GREGOIRE;;
863;BAR DE LA FORGE;Ille et Vilaine;"{""coordinates"": [[-1.684859136787006, 48.15146582289354]], ""type"": ""MultiPoint""}";BAR BRASSERIE;CENTRE COMMERCIAL LA FORGE;SAINT GREGOIRE;;
864;CREPERIE DU MARCHE;Ille et Vilaine;"{""coordinates"": [[-1.68201676432983, 48.15371211841805]], ""type"": ""MultiPoint""}";CREPERIE;PLACE DE L EGLISE;SAINT GREGOIRE;;
865;UN ZESTE ET DEUX PINCEES;Ille et Vilaine;"{""coordinates"": [[-1.684617625568577, 48.15230479604533]], ""type"": ""MultiPoint""}";EPICERIE FINE;2 RUE ALPHONSE MILON;SAINT GREGOIRE;;
866;SPECIALITES PORTUGAISES;Ille et Vilaine;"{""coordinates"": [[-1.693445778697718, 48.095981963551864]], ""type"": ""MultiPoint""}";ALIMENTATION SPECIALISEE PORTUGAISE;43 BOULEVARD JEAN MERMOZ;SAINT JACQUES DE LA LANDE;;
867;LA VILLE EN PIERRE **;Ille et Vilaine;"{""coordinates"": [[-1.705689581929432, 48.08907911696983]], ""type"": ""MultiPoint""}";HOTEL RESTAURANT** BAR;1 AVENUE ROGER DODIN;SAINT JACQUES DE LA LANDE;;
868;LA GOURMANDISE;Ille et Vilaine;"{""coordinates"": [[-1.694362724094984, 48.08801282731501]], ""type"": ""MultiPoint""}";RESTAURANT CREPERIE;296 RUE DE NANTES;SAINT JACQUES DE LA LANDE;;
869;LA BOULANGERIE DE CAMILLE;Ille et Vilaine;"{""coordinates"": [[-1.713525947238307, 48.08151629630691]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;CRS CAMILLE CLAUDEL;SAINT JACQUES DE LA LANDE;;
870;LE VAL'EX;Ille et Vilaine;"{""coordinates"": [[-1.71358536260168, 48.0809975436637]], ""type"": ""MultiPoint""}";BAR RESTAURANT PMU;19 COURS CAMILLE CLAUDEL;SAINT JACQUES DE LA LANDE;;
871;LA PASSERELLE;Ille et Vilaine;"{""coordinates"": [[-1.726169992169349, 48.0684539328236]], ""type"": ""MultiPoint""}";RESTAURANT BRASSERIE;LA PERELLE;SAINT JACQUES DE LA LANDE;;
872;BOUCHERIE CHARCUTERIE;Ille et Vilaine;"{""coordinates"": [[-1.535424765520753, 48.33270056654183]], ""type"": ""MultiPoint""}";BOUCHERIE CHARCUTERIE EPICERIE FROMAGE;5 PLACE DE LA MAIRIE;SENS DE BRETAGNE;;
873;8 A HUIT;Ille et Vilaine;"{""coordinates"": [[-1.533769399562522, 48.33253045543577]], ""type"": ""MultiPoint""}";SUPERETTE;20 AVENUE PHILIPPE DE VOLVIRE;SENS DE BRETAGNE;;
874;BOUCHERIE ROBERT;Ille et Vilaine;"{""coordinates"": [[-1.460627842865023, 48.121523537950175]], ""type"": ""MultiPoint""}";BOUCHERIE CHARCUTERIE;3 RUE DU MARECHAL LECLERC;SERVON SUR VILAINE;;
875;L'AUBERGE DES BOIS;Ille et Vilaine;"{""coordinates"": [[-1.586850189658438, 48.159622786978595]], ""type"": ""MultiPoint""}";RESTAURANT;39 RUE NATIONALE;THORIGNE FOUILLARD;;
876;LE BOOGIE WOOGIE;Ille et Vilaine;"{""coordinates"": [[-1.580202593361579, 48.1591300045281]], ""type"": ""MultiPoint""}";RESTAURANT TEX MEX;CENTRE COMMERCIAL DU BOCAGE;THORIGNE FOUILLARD;;
877;SARL LV RESTAURATION;Ille et Vilaine;"{""coordinates"": [[-1.940301070863502, 48.06975779338848]], ""type"": ""MultiPoint""}";TRAITEUR LOCATION DE SALLE;LD LES GRANDS CHAPUTS;LE VERGER;;
878;LA CASA;Ille et Vilaine;"{""coordinates"": [[-1.602206689162792, 48.04796312384122]], ""type"": ""MultiPoint""}";RESTAURANT PIZZERIA;14 RUE DE LA LIBERATION;VERN SUR SEICHE;;
879;LA BRAISE;Ille et Vilaine;"{""coordinates"": [[-1.604060339010635, 48.0464545043178]], ""type"": ""MultiPoint""}";BAR RESTAURANT;12 RUE DU BOEL;VERN SUR SEICHE;;
880;BOUCHERIE CHARCUTERIE;Ille et Vilaine;"{""coordinates"": [[-1.603186688233173, 48.0448977665343]], ""type"": ""MultiPoint""}";BOUCHERIE CHARCUTERIE;3 PLACE DE LA MAIRIE;VERN SUR SEICHE;;
881;BOULANGERIE FRANCOISE &CHRISTIAN COLASSE;Ille et Vilaine;"{""coordinates"": [[-1.602457582355304, 48.04626214573473]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;1 RUE CHATEAUBRIANT;VERN SUR SEICHE;;
882;BOULANGERIE PATISSERIE DUMANT;Ille et Vilaine;"{""coordinates"": [[-1.757786084047145, 48.119035681894125]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;20 RUE DE MONTFORT;VEZIN LE COQUET;;
883;INTERMARCHE CONTACT;Ille et Vilaine;"{""coordinates"": [[-1.524672132398156, 48.32939540095984]], ""type"": ""MultiPoint""}";SUPERMARCHE;LA CROIX COUVERTE;VIEUX VY SUR COUESNON;;
884;NIAZA;Ille et Vilaine;"{""coordinates"": [[-1.66656919750924, 48.112423940448565]], ""type"": ""MultiPoint""}";ALIMENTATION GENERALE;36 RUE DE PARIS;RENNES;;
885;CHEZ MARCO;Ille et Vilaine;"{""coordinates"": [[-1.712788671185304, 48.10849094493508]], ""type"": ""MultiPoint""}";BAR RESTAURANT;132 RUE DE LORIENT;RENNES;;
886;BOULANGERIE DE LA GARE;Ille et Vilaine;"{""coordinates"": [[-1.672863593682464, 48.10460688097596]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;30 AVENUE JEAN JANVIER;RENNES;;
887;L'AMIRAL;Ille et Vilaine;"{""coordinates"": [[-1.684833802922196, 48.10808450336706]], ""type"": ""MultiPoint""}";RESTAURANT;2 BOULEVARD DE LA TOUR D AU;RENNES;;
888;L'ATRE;Ille et Vilaine;"{""coordinates"": [[-1.720992295094911, 48.100850300345066]], ""type"": ""MultiPoint""}";RESTAURANT PIZZERIA;ROUTE DE SAINTE FOIX;RENNES;;
889;ARTISAN BOULANGER H. ET L. LEROY;Ille et Vilaine;"{""coordinates"": [[-1.658081276042456, 48.12643696982585]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;32 RUE TREGAIN;RENNES;;
890;SN;Ille et Vilaine;"{""coordinates"": [[-1.663893303877521, 48.126606293471184]], ""type"": ""MultiPoint""}";EPICERIE EXOTIQUE;10 PLACE DU GROS CHENE;RENNES;;
891;HAREM;Ille et Vilaine;"{""coordinates"": [[-1.664002564951254, 48.12676748440837]], ""type"": ""MultiPoint""}";KEBAB SP/AE RESTAURATION RAPIDE;7 PLACE DU GROS CHENE;RENNES;;
892;LE CHICKEN SHOW;Ille et Vilaine;"{""coordinates"": [[-1.687148327698648, 48.11027109798248]], ""type"": ""MultiPoint""}";RESTAURATION RAPIDE SP/AE;10 MAIL FRANCOIS MITTERRAND;RENNES;;
893;MARCHE PLUS;Ille et Vilaine;"{""coordinates"": [[-1.689341629681508, 48.11845885452273]], ""type"": ""MultiPoint""}";SUPERETTE;47 B BOULEVARD DE VERDUN;RENNES;;
894;PAINS ET PATISSERIE;Ille et Vilaine;"{""coordinates"": [[-1.689629004898542, 48.118143489076964]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;45 BOULEVARD DE VERDUN;RENNES;;
895;EAT SUSHI;Ille et Vilaine;"{""coordinates"": [[-1.672984902333629, 48.105086553325805]], ""type"": ""MultiPoint""}";RESTAURANT JAPONAIS;24 AVENUE JEAN JANVIER;RENNES;;
896;LES SUCRES SALES D'IRENE;Ille et Vilaine;"{""coordinates"": [[-1.666467007972517, 48.10606490329988]], ""type"": ""MultiPoint""}";EPICERIE FINE;79 RUE SAINT HELIER;RENNES;;
897;L'EAU A LA BOUCHE;Ille et Vilaine;"{""coordinates"": [[-1.685854919434098, 48.10675571606302]], ""type"": ""MultiPoint""}";RESTAURANT;12 RUE DE L ARSENAL;RENNES;;
898;LA DOUCEUR DE SEL;Ille et Vilaine;"{""coordinates"": [[-1.678779048622101, 48.11045145603902]], ""type"": ""MultiPoint""}";RESTAURANT CREPERIE;6 RUE BAUDRAIRIE;RENNES;;
899;ARTISAN BOULANGER;Ille et Vilaine;"{""coordinates"": [[-1.675268617506331, 48.11187425585842]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;42 RUE SAINT GEORGES;RENNES;;
900;LE PAVILLON;Ille et Vilaine;"{""coordinates"": [[-1.682069743235172, 48.11350424466328]], ""type"": ""MultiPoint""}";BAR BRASSERIE;7 PLACE SAINT MICHEL;RENNES;;
901;PIZZA IN BOX;Ille et Vilaine;"{""coordinates"": [[-1.632580658426234, 48.09363269542361]], ""type"": ""MultiPoint""}";PIZZA A LIVRER / AE / RESTAURATION RAPIDE;259 RUE DE CHATEAUGIRON;RENNES;;
902;MARCHE DU CAMPUS;Ille et Vilaine;"{""coordinates"": [[-1.650040341703071, 48.119721438112975]], ""type"": ""MultiPoint""}";SUPERETTE;86 B BOULEVARD DE VITRE;RENNES;;
903;HOTEL DU PARC / BRIT HOTEL;Ille et Vilaine;"{""coordinates"": [[-1.733160152006602, 48.10551928739093]], ""type"": ""MultiPoint""}";HOTEL RESTAURANT**;167 RUE DE LORIENT;RENNES;;
904;CREPERIE SALADERIE MERPHYS;Ille et Vilaine;"{""coordinates"": [[-1.690836349567127, 48.10504865473319]], ""type"": ""MultiPoint""}";CREPERIE SALADERIE;21 RUE DE REDON;RENNES;;
905;ALIMENTATION ALPHONSE GUERIN;Ille et Vilaine;"{""coordinates"": [[-1.658104806412633, 48.10942506774176]], ""type"": ""MultiPoint""}";ALIMENTATION GENERALE;77 RUE ALPHONSE GUERIN;RENNES;;
906;RESTAURANT UNIVERSITAIRE;Ille et Vilaine;"{""coordinates"": [[-1.671235243125055, 48.118110010020715]], ""type"": ""MultiPoint""}";RESTAURANT;46 RUE JEAN GUEHENNO;RENNES;;
907;LA GOURMANDINE;Ille et Vilaine;"{""coordinates"": [[-1.67088716974807, 48.107121451433414]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;21 RUE SAINT HELIER;RENNES;;
908;L'ARVOR;Ille et Vilaine;"{""coordinates"": [[-1.671412358005483, 48.10469550656044]], ""type"": ""MultiPoint""}";BAR HOTEL RESTAURANT** BRASSERIE;31 AV LOUIS BARTHOU;RENNES;;
909;47 AVENUE;Ille et Vilaine;"{""coordinates"": [[-1.672618971676521, 48.105444942060494]], ""type"": ""MultiPoint""}";RESTAURANT;AVENUE JEAN JANVIER;RENNES;;
910;SAN REMO;Ille et Vilaine;"{""coordinates"": [[-1.673263548950269, 48.10442193324915]], ""type"": ""MultiPoint""}";PIZZERIA;7 PLACE DE LA GARE;RENNES;;
911;LE GOUT DU PAIN;Ille et Vilaine;"{""coordinates"": [[-1.657713236259397, 48.13103405336466]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;3 RUE ALEXANDRE LEFAS;RENNES;;
912;LA TIMONERIE;Ille et Vilaine;"{""coordinates"": [[-1.672784151840219, 48.10590340617413]], ""type"": ""MultiPoint""}";BAR BRASSERIE;39 AVENUE JEAN JANVIER;RENNES;;
913;DROGUERIE LEMERCIER;Ille et Vilaine;"{""coordinates"": [[-1.668879418633036, 48.10671226603769]], ""type"": ""MultiPoint""}";DROGUERIE;45 RUE SAINT HELIER;RENNES;;
914;TIFFANY'S BAR;Ille et Vilaine;"{""coordinates"": [[-1.669377137892432, 48.110810139903336]], ""type"": ""MultiPoint""}";BAR PETITE RESTAURATION;19 RUE PAUL BERT;RENNES;;
915;BOUCHERIE TUFFIN SERGE;Ille et Vilaine;"{""coordinates"": [[-1.658155611180202, 48.131028407635554]], ""type"": ""MultiPoint""}";BOUCHERIE CHARCUTERIE TRAITEUR;1 RUE ALEXANDRE LEFAS;RENNES;;
916;AU PANIER GOURMAND;Ille et Vilaine;"{""coordinates"": [[-1.68496714972435, 48.101032836553664]], ""type"": ""MultiPoint""}";ALIMENTATION GENERALE;123 RUE DE NANTES;RENNES;;
917;UN MIDI DANS LES VIGNES;Ille et Vilaine;"{""coordinates"": [[-1.658743585227097, 48.114333076499015]], ""type"": ""MultiPoint""}";RESTAURANT CAVE A VIN;115 RUE DE PARIS;RENNES;;
918;CHRISTINE CARNET;Ille et Vilaine;"{""coordinates"": [[-1.666641586263038, 48.106104845837955]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;77 RUE SAINT HELIER;RENNES;;
919;LE RAT QUI TOUSSE;Ille et Vilaine;"{""coordinates"": [[-1.66682275466622, 48.112543489837975]], ""type"": ""MultiPoint""}";RESTAURANT;39 RUE DE PARIS;RENNES;;
920;FOLIE VERTE;Ille et Vilaine;"{""coordinates"": [[-1.673210186179936, 48.10743804524205]], ""type"": ""MultiPoint""}";RESTAURATION RAPIDE SP/AE;2 AVENUE JEAN JANVIER;RENNES;;
921;ROYAL KEBAB;Ille et Vilaine;"{""coordinates"": [[-1.673244305105197, 48.10754502947511]], ""type"": ""MultiPoint""}";KEBAB SP/AE RESTAURATION RAPIDE;13 AVENUE JEAN JANVIER;RENNES;;
922;LE COM'BACK;Ille et Vilaine;"{""coordinates"": [[-1.68788885434238, 48.12006289941502]], ""type"": ""MultiPoint""}";BAR RESTAURANT;75 BD DE VERDUN;RENNES;;
923;LA QUINCAILLERIE GENERALE;Ille et Vilaine;"{""coordinates"": [[-1.669884368996754, 48.11073024256905]], ""type"": ""MultiPoint""}";BAR RESTAURANT;15 RUE PAUL BERT;RENNES;;
924;BEST KEBAB;Ille et Vilaine;"{""coordinates"": [[-1.665859844388774, 48.109190370543296]], ""type"": ""MultiPoint""}";KEBAB AE;10 BOULEVARD RENE LAENNEC;RENNES;;
925;BOUCHERIE ASALAM;Ille et Vilaine;"{""coordinates"": [[-1.663834232739053, 48.12678044466273]], ""type"": ""MultiPoint""}";BOUCHERIE ALIMENTATION GENERALE;8 PLACE DU GROS CHENE;RENNES;;
926;BANETTE;Ille et Vilaine;"{""coordinates"": [[-1.707742542042356, 48.11751276635306]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;2 AVENUE SIR WINSTON CHURCH;RENNES;;
927;BOULANGERIE PATISSERIE HUET;Ille et Vilaine;"{""coordinates"": [[-1.705443334107625, 48.100550269779575]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;32 RUE JULES LALLEMAND;RENNES;;
928;LA MOUETTE;Ille et Vilaine;"{""coordinates"": [[-1.671642373491474, 48.10716744549856]], ""type"": ""MultiPoint""}";POISSONS COQUILLAGES;28 RUE SAINT HELIER;RENNES;;
929;LE PETIT BACCHUS;Ille et Vilaine;"{""coordinates"": [[-1.666773514194898, 48.12492116639251]], ""type"": ""MultiPoint""}";BAR RESTAURANT;182 AVENUE GENERAL GEORGE PATTON;RENNES;;
930;LE BISTROT;Ille et Vilaine;"{""coordinates"": [[-1.684766389667172, 48.10667023388553]], ""type"": ""MultiPoint""}";RESTAURANT;20 BOULEVARD DE LA TOUR D AUVERGNE;RENNES;;
931;PIZZERIA DE THEO;Ille et Vilaine;"{""coordinates"": [[-1.652433842494644, 48.12707550783691]], ""type"": ""MultiPoint""}";BAR BRASSERIE PIZZERIA;240 RUE DE FOUGERES;RENNES;;
932;LE TEMPS D'UN VERRE;Ille et Vilaine;"{""coordinates"": [[-1.665840987953104, 48.10947126290544]], ""type"": ""MultiPoint""}";BAR RESTAURANT;6 BOULEVARD RENE LAENNEC;RENNES;;
933;MC DONALD'S;Ille et Vilaine;"{""coordinates"": [[-1.67846750776188, 48.08300518784478]], ""type"": ""MultiPoint""}";RESTAURANT RAPIDE;3 MAIL ROBERT MERLE;RENNES;;
934;MARCHE PLUS;Ille et Vilaine;"{""coordinates"": [[-1.667651600300794, 48.13583397686218]], ""type"": ""MultiPoint""}";SUPERETTE;AVENUE DES MONTS D ARREE;RENNES;;
935;LA BIGOUDINE;Ille et Vilaine;"{""coordinates"": [[-1.655838358421016, 48.125290740058894]], ""type"": ""MultiPoint""}";CREPERIE;206 RUE DE FOUGERES;RENNES;;
936;LA PLANCHE;Ille et Vilaine;"{""coordinates"": [[-1.681185425994754, 48.104856200493586]], ""type"": ""MultiPoint""}";RESTAURANT;40 PLACE DU COLOMBIER;RENNES;;
